,aspiration-std,aspiration-turbo,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type-diesel,fuel-type-gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,stroke,symboling,wheel-base,width,aspiration-std,aspiration-turbo
0,,,convertible,3.47,11.19047619,21,9,2548,rwd,front,130,dohc,mpfi,0,1,0.816053512,8.703703704,111,Low,0.811148486,alfa-romero,122,four,two,5000,13495,2.68,3,88.6,0.890277778,1,0
1,,,convertible,3.47,11.19047619,21,9,2548,rwd,front,130,dohc,mpfi,0,1,0.816053512,8.703703704,111,Low,0.811148486,alfa-romero,122,four,two,5000,16500,2.68,3,88.6,0.890277778,1,0
2,,,hatchback,2.68,12.36842105,19,9,2823,rwd,front,152,ohcv,mpfi,0,1,0.876254181,9.038461538,154,Medium,0.822681403,alfa-romero,122,six,two,5000,16500,3.47,1,94.5,0.909722222,1,0
3,,,sedan,3.19,9.791666667,24,10,2337,fwd,front,109,ohc,mpfi,0,1,0.908026756,7.833333333,102,Low,0.848630466,audi,164,four,four,5500,13950,3.4,2,99.8,0.919444444,1,0
4,,,sedan,3.19,13.05555556,18,8,2824,4wd,front,136,ohc,mpfi,0,1,0.908026756,10.68181818,115,Low,0.848630466,audi,164,five,four,5500,17450,3.4,2,99.4,0.922222222,1,0
5,,,sedan,3.19,12.36842105,19,8.5,2507,fwd,front,136,ohc,mpfi,0,1,0.887959866,9.4,110,Low,0.851994234,audi,122,five,two,5500,15250,3.4,2,99.8,0.920833333,1,0
6,,,sedan,3.19,12.36842105,19,8.5,2844,fwd,front,136,ohc,mpfi,0,1,0.931438127,9.4,110,Low,0.925997117,audi,158,five,four,5500,17710,3.4,1,105.8,0.991666667,1,0
7,,,wagon,3.19,12.36842105,19,8.5,2954,fwd,front,136,ohc,mpfi,0,1,0.931438127,9.4,110,Low,0.925997117,audi,122,five,four,5500,18920,3.4,1,105.8,0.991666667,1,0
8,,,sedan,3.13,13.82352941,17,8.3,3086,fwd,front,131,ohc,mpfi,0,1,0.934782609,11.75,140,Medium,0.925997117,audi,158,five,four,5500,23875,3.4,1,105.8,0.991666667,0,1
9,,,sedan,3.5,10.2173913,23,8.8,2395,rwd,front,108,ohc,mpfi,0,1,0.908026756,8.103448276,101,Low,0.849591543,bmw,192,four,two,5800,16430,2.8,2,101.2,0.9,1,0
10,,,sedan,3.5,10.2173913,23,8.8,2395,rwd,front,108,ohc,mpfi,0,1,0.908026756,8.103448276,101,Low,0.849591543,bmw,192,four,four,5800,16925,2.8,0,101.2,0.9,1,0
11,,,sedan,3.31,11.19047619,21,9,2710,rwd,front,164,ohc,mpfi,0,1,0.908026756,8.392857143,121,Medium,0.849591543,bmw,188,six,two,4250,20970,3.19,0,101.2,0.9,1,0
12,,,sedan,3.31,11.19047619,21,9,2765,rwd,front,164,ohc,mpfi,0,1,0.908026756,8.392857143,121,Medium,0.849591543,bmw,188,six,four,4250,21105,3.19,0,101.2,0.9,1,0
13,,,sedan,3.31,11.75,20,9,3055,rwd,front,164,ohc,mpfi,0,1,0.931438127,9.4,121,Medium,0.908217203,bmw,122,six,four,4250,24565,3.19,1,103.5,0.929166667,1,0
14,,,sedan,3.62,14.6875,16,8,3230,rwd,front,209,ohc,mpfi,0,1,0.931438127,10.68181818,182,Medium,0.908217203,bmw,122,six,four,5400,30760,3.39,0,103.5,0.929166667,1,0
15,,,sedan,3.62,14.6875,16,8,3380,rwd,front,209,ohc,mpfi,0,1,0.897993311,10.68181818,182,Medium,0.931283037,bmw,122,six,two,5400,41315,3.39,0,103.5,0.943055556,1,0
16,,,sedan,3.62,15.66666667,15,8,3505,rwd,front,209,ohc,mpfi,0,1,0.941471572,11.75,182,Medium,0.946660259,bmw,122,six,four,5400,36880,3.39,0,110,0.984722222,1,0
17,,,hatchback,2.91,5,47,9.5,1488,fwd,front,61,l,2bbl,0,1,0.889632107,4.433962264,48,Low,0.678039404,chevrolet,121,three,two,5100,5151,3.03,2,88.4,0.8375,1,0
18,,,hatchback,3.03,6.184210526,38,9.6,1874,fwd,front,90,ohc,2bbl,0,1,0.869565217,5.465116279,70,Low,0.749159058,chevrolet,98,four,two,5400,6295,3.11,1,94.5,0.883333333,1,0
19,,,sedan,3.03,6.184210526,38,9.6,1909,fwd,front,90,ohc,2bbl,0,1,0.869565217,5.465116279,70,Low,0.763094666,chevrolet,81,four,four,5400,6575,3.11,0,94.5,0.883333333,1,0
20,,,hatchback,2.97,6.351351351,37,9.41,1876,fwd,front,90,ohc,2bbl,0,1,0.849498328,5.731707317,68,Low,0.755886593,dodge,118,four,two,5500,5572,3.23,1,93.7,0.886111111,1,0
21,,,hatchback,2.97,7.580645161,31,9.4,1876,fwd,front,90,ohc,2bbl,0,1,0.849498328,6.184210526,68,Low,0.755886593,dodge,118,four,two,5500,6377,3.23,1,93.7,0.886111111,1,0
22,,,hatchback,3.03,9.791666667,24,7.6,2128,fwd,front,98,ohc,mpfi,0,1,0.849498328,7.833333333,102,Low,0.755886593,dodge,118,four,two,5500,7957,3.39,1,93.7,0.886111111,0,1
23,,,hatchback,2.97,7.580645161,31,9.4,1967,fwd,front,90,ohc,2bbl,0,1,0.846153846,6.184210526,68,Low,0.755886593,dodge,148,four,four,5500,6229,3.23,1,93.7,0.886111111,1,0
24,,,sedan,2.97,7.580645161,31,9.4,1989,fwd,front,90,ohc,2bbl,0,1,0.846153846,6.184210526,68,Low,0.755886593,dodge,148,four,four,5500,6692,3.23,1,93.7,0.886111111,1,0
25,,,sedan,2.97,7.580645161,31,9.4,1989,fwd,front,90,ohc,2bbl,0,1,0.846153846,6.184210526,68,Low,0.755886593,dodge,148,four,four,5500,7609,3.23,1,93.7,0.886111111,1,0
